DATE,Borough,counts
2015-01-01,Bronx,319
2015-01-01,Brooklyn,1282
2015-01-01,EWR,1
2015-01-01,Manhattan,2867
2015-01-01,Queens,853
2015-01-01,Staten Island,38
2015-01-01,Unknown,14
2015-01-02,Bronx,206
2015-01-02,Brooklyn,882
2015-01-02,Manhattan,2313
2015-01-02,Queens,637
2015-01-02,Staten Island,19
2015-01-02,Unknown,4
2015-01-03,Bronx,220
2015-01-03,Brooklyn,1024
2015-01-03,Manhattan,2666
2015-01-03,Queens,731
2015-01-03,Staten Island,18
2015-01-03,Unknown,9
2015-01-04,Bronx,195
2015-01-04,Brooklyn,964
2015-01-04,Manhattan,2074
2015-01-04,Queens,658
2015-01-04,Staten Island,13
2015-01-04,Unknown,6
2015-01-05,Bronx,177
2015-01-05,Brooklyn,848
2015-01-05,EWR,1
2015-01-05,Manhattan,2379
2015-01-05,Queens,649
2015-01-05,Staten Island,19
2015-01-05,Unknown,7
2015-01-06,Bronx,189
2015-01-06,Brooklyn,826
2015-01-06,Manhattan,2599
2015-01-06,Queens,637
2015-01-06,Staten Island,10
2015-01-06,Unknown,4
2015-01-07,Bronx,173
2015-01-07,Brooklyn,917
2015-01-07,Manhattan,2773
2015-01-07,Queens,632
2015-01-07,Staten Island,19
2015-01-07,Unknown,6
2015-01-08,Bronx,198
2015-01-08,Brooklyn,889
2015-01-08,EWR,1
2015-01-08,Manhattan,2949
2015-01-08,Queens,629
2015-01-08,Staten Island,12
2015-01-08,Unknown,8
2015-01-09,Bronx,222
2015-01-09,Brooklyn,969
2015-01-09,Manhattan,2909
2015-01-09,Queens,721
2015-01-09,Staten Island,26
2015-01-09,Unknown,8
2015-01-10,Bronx,232
2015-01-10,Brooklyn,1270
2015-01-10,EWR,1
2015-01-10,Manhattan,3107
2015-01-10,Queens,785
2015-01-10,Staten Island,18
2015-01-10,Unknown,8
2015-01-11,Bronx,202
2015-01-11,Brooklyn,1074
2015-01-11,Manhattan,2624
2015-01-11,Queens,698
2015-01-11,Staten Island,14
2015-01-11,Unknown,8
2015-01-12,Bronx,185
2015-01-12,Brooklyn,850
2015-01-12,Manhattan,2681
2015-01-12,Queens,603
2015-01-12,Staten Island,16
2015-01-12,Unknown,8
2015-01-13,Bronx,195
2015-01-13,Brooklyn,840
2015-01-13,EWR,1
2015-01-13,Manhattan,2854
2015-01-13,Queens,611
2015-01-13,Staten Island,22
2015-01-13,Unknown,6
2015-01-14,Bronx,205
2015-01-14,Brooklyn,867
2015-01-14,Manhattan,2706
2015-01-14,Queens,579
2015-01-14,Staten Island,20
2015-01-14,Unknown,5
2015-01-15,Bronx,212
2015-01-15,Brooklyn,894
2015-01-15,Manhattan,2795
2015-01-15,Queens,609
2015-01-15,Staten Island,22
2015-01-15,Unknown,6
2015-01-16,Bronx,237
2015-01-16,Brooklyn,1006
2015-01-16,EWR,2
2015-01-16,Manhattan,3085
2015-01-16,Queens,718
2015-01-16,Staten Island,24
2015-01-16,Unknown,9
2015-01-17,Bronx,251
2015-01-17,Brooklyn,1307
2015-01-17,Manhattan,2958
2015-01-17,Queens,809
