GeoCode,GeoCodeLabel,Number_of_Motor_Vehicle_Collisions,Vehicles_or_Motorists_Involved,Injury_or_Fatal_Collisions,MotoristsInjured,MotoristsKilled,PassengInjured,PassengKilled,CyclistsInjured,CyclistsKilled,PedestrInjured,PedestrKilled,Bicycle,Month
C,CITYWIDE,15977.0,31532.0,2542.0,1133.0,3.0,1299.0,3.0,115.0,1.0,902.0,6.0,159.0,January
M,MANHATTAN,3210.0,6161.0,413.0,133.0,0.0,134.0,0.0,37.0,0.0,200.0,2.0,61.0,January
001,1st Precinct,188.0,369.0,15.0,5.0,0.0,2.0,0.0,2.0,0.0,8.0,0.0,4.0,January
005,5th Precinct,160.0,309.0,24.0,14.0,0.0,5.0,0.0,1.0,0.0,13.0,0.0,3.0,January
006,6th Precinct,100.0,185.0,9.0,1.0,0.0,1.0,0.0,1.0,0.0,6.0,0.0,4.0,January
007,7th Precinct,68.0,137.0,8.0,5.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,January
009,9th Precinct,103.0,193.0,17.0,5.0,0.0,6.0,0.0,2.0,0.0,7.0,0.0,3.0,January
010,10th Precinct,193.0,373.0,13.0,4.0,0.0,4.0,0.0,1.0,0.0,6.0,0.0,2.0,January
013,13th Precinct,180.0,341.0,25.0,3.0,0.0,13.0,0.0,7.0,0.0,12.0,0.0,8.0,January
014,Midtown South Precinct,224.0,424.0,36.0,8.0,0.0,6.0,0.0,4.0,0.0,21.0,1.0,8.0,January
017,17th Precinct,248.0,475.0,29.0,4.0,0.0,13.0,0.0,2.0,0.0,15.0,0.0,3.0,January
018,Midtown North Precinct,246.0,458.0,34.0,11.0,0.0,10.0,0.0,3.0,0.0,19.0,0.0,6.0,January
019,19th Precinct,434.0,850.0,47.0,18.0,0.0,14.0,0.0,1.0,0.0,20.0,1.0,3.0,January
020,20th Precinct,135.0,258.0,16.0,4.0,0.0,2.0,0.0,2.0,0.0,9.0,0.0,3.0,January
022,Central Park Precinct,12.0,21.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,January
023,23rd Precinct,130.0,258.0,16.0,5.0,0.0,5.0,0.0,3.0,0.0,7.0,0.0,3.0,January
024,24th Precinct,101.0,188.0,17.0,4.0,0.0,7.0,0.0,1.0,0.0,9.0,0.0,1.0,January
025,25th Precinct,160.0,312.0,29.0,17.0,0.0,9.0,0.0,1.0,0.0,10.0,0.0,1.0,January
026,26th Precinct,80.0,161.0,12.0,8.0,0.0,4.0,0.0,1.0,0.0,4.0,0.0,1.0,January
028,28th Precinct,55.0,107.0,7.0,2.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,2.0,January
030,30th Precinct,59.0,113.0,6.0,3.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,January
032,32nd Precinct,97.0,178.0,19.0,4.0,0.0,6.0,0.0,3.0,0.0,10.0,0.0,3.0,January
