DATE,Borough,No. of uber trips,PERSONS KILLED,trafficcol
2015-01-01,BRONX,319,0,35
2015-01-01,BROOKLYN,1282,0,95
2015-01-01,MANHATTAN,2867,0,65
2015-01-01,QUEENS,853,0,84
2015-01-01,STATEN ISLAND,38,0,15
2015-01-02,BRONX,206,0,49
2015-01-02,BROOKLYN,882,0,102
2015-01-02,MANHATTAN,2313,0,87
2015-01-02,QUEENS,637,0,87
2015-01-02,STATEN ISLAND,19,0,14
2015-01-03,BRONX,220,0,49
2015-01-03,BROOKLYN,1024,0,113
2015-01-03,MANHATTAN,2666,1,97
2015-01-03,QUEENS,731,0,93
2015-01-03,STATEN ISLAND,18,0,10
2015-01-04,BRONX,195,1,35
2015-01-04,BROOKLYN,964,0,113
2015-01-04,MANHATTAN,2074,0,57
2015-01-04,QUEENS,658,0,54
2015-01-04,STATEN ISLAND,13,0,11
2015-01-05,BRONX,177,0,51
2015-01-05,BROOKLYN,848,2,124
2015-01-05,MANHATTAN,2379,0,71
2015-01-05,QUEENS,649,0,116
2015-01-05,STATEN ISLAND,19,0,22
2015-01-06,BRONX,189,0,91
2015-01-06,BROOKLYN,826,0,179
2015-01-06,MANHATTAN,2599,0,100
2015-01-06,QUEENS,637,0,186
2015-01-06,STATEN ISLAND,10,0,32
2015-01-07,BRONX,173,0,44
2015-01-07,BROOKLYN,917,0,136
2015-01-07,MANHATTAN,2773,0,95
2015-01-07,QUEENS,632,0,130
2015-01-07,STATEN ISLAND,19,0,15
2015-01-08,BRONX,198,0,55
2015-01-08,BROOKLYN,889,0,146
2015-01-08,MANHATTAN,2949,0,128
2015-01-08,QUEENS,629,0,117
2015-01-08,STATEN ISLAND,12,0,23
2015-01-09,BRONX,222,1,96
2015-01-09,BROOKLYN,969,0,161
2015-01-09,MANHATTAN,2909,1,141
2015-01-09,QUEENS,721,0,157
2015-01-09,STATEN ISLAND,26,0,31
2015-01-10,BRONX,232,0,44
2015-01-10,BROOKLYN,1270,0,119
2015-01-10,MANHATTAN,3107,0,84
2015-01-10,QUEENS,785,0,119
2015-01-10,STATEN ISLAND,18,0,18
2015-01-11,BRONX,202,0,27
2015-01-11,BROOKLYN,1074,0,90
2015-01-11,MANHATTAN,2624,0,63
2015-01-11,QUEENS,698,0,75
2015-01-11,STATEN ISLAND,14,0,11
2015-01-12,BRONX,185,0,62
2015-01-12,BROOKLYN,850,0,156
2015-01-12,MANHATTAN,2681,0,99
2015-01-12,QUEENS,603,0,106
2015-01-12,STATEN ISLAND,16,0,16
2015-01-13,BRONX,195,0,67
2015-01-13,BROOKLYN,840,0,124
2015-01-13,MANHATTAN,2854,0,124
2015-01-13,QUEENS,611,0,140
